Year,Operation,Difficulty,Map,Mission,Wave,Author
2022,2 - Anniversary Annihilation,Advanced,Cyberia,Snowblitz,6,Andrew Xtreme
2022,2 - Anniversary Annihilation,Advanced,Tensai,Wasabi Warzone,3,Retrowave
2022,2 - Anniversary Annihilation,Advanced,Quetzal,Wilderness Warfare,8,Yoovy
2022,2 - Anniversary Annihilation,Expert,Powerplant,Current Surge,6,CreatorForce
2022,2 - Anniversary Annihilation,Expert,Mannhattan,Discordant,6,Package O' Lies
2022,2 - Anniversary Annihilation,Expert,Decoy,Dissolution,7,? Mo_ #killtf2
2022,2 - Anniversary Annihilation,Expert,Nox,Gruesome Garrison,5,Yoovy
2022,2 - Anniversary Annihilation,Expert,Hideout,Interloper,5,PDA Expert
2022,2 - Anniversary Annihilation,Expert,Coldtown,Night Before Smissmas,6,Alox
2022,2 - Anniversary Annihilation,Expert,Dockyard,Overkill,7,Package O' Lies
2022,2 - Anniversary Annihilation,Expert,Dockyard,Overkill,7,Hellblade
2022,2 - Anniversary Annihilation,Expert,Swirl,Virtual Insanity,6,Athazar
2023,3 - Voltaic Violence,Intermediate,Area 52,Anomalous Materials,6,Yoovy
2023,3 - Voltaic Violence,Intermediate,Barren,Wasteland Wonderland,7,Skin King
2023,3 - Voltaic Violence,Intermediate,Oxidize,Pollution Dilution,8,? Mo_ #killtf2
2023,3 - Voltaic Violence,Intermediate,Production,Low Carbon Steal,8,Package O' Lies
2023,3 - Voltaic Violence,Intermediate,Production,Low Carbon Steal,8,Retrowave
2023,3 - Voltaic Violence,Intermediate,Underground,Unorthodox Tech,6,PDA Expert
2023,3 - Voltaic Violence,Intermediate,Yiresa,Black East,7,PDA Expert
2023,3 - Voltaic Violence,Advanced,Dockyard,Android Annihilation,6,Skin King
2023,3 - Voltaic Violence,Advanced,Dockyard,Android Annihilation,6,Retrowave
2023,3 - Voltaic Violence,Advanced,Doppler,Vendetta,7,Package O' Lies
2023,3 - Voltaic Violence,Advanced,Jungleworks,Object Overflow,5,Quantum Apple
2023,3 - Voltaic Violence,Advanced,Metro,Synthetic Synthwave,6,Retrowave
2023,3 - Voltaic Violence,Advanced,Nox,Detritus,7,Yoovy
2023,3 - Voltaic Violence,Advanced,Nox,Programmed Plains,6,Retrowave
2023,3 - Voltaic Violence,Advanced,Powerplant,Power Struggle,6,eyes6526
2023,3 - Voltaic Violence,Advanced,Production,Molybdenum,7,M1
2023,3 - Voltaic Violence,Advanced,Rottenburg,Cybernetic Carnage,7,ElectricChair22
2023,3 - Voltaic Violence,Expert,Jungleworks,Nullified Processor,5,? Mo_ #killtf2
2023,3 - Voltaic Violence,Expert,Powerplant,Depredation,7,eyes6526
2023,3 - Voltaic Violence,Expert,Skangus,Sporulation,6,Quantum Apple
2023,3 - Voltaic Violence,Expert,Tensai,Dishonored Dynasty,8,Yoovy
2023,3 - Voltaic Violence,Expert,Underground,Path Of Radiance,6,CreatorForce
2023,3 - Voltaic Violence,Expert,Waterfront,Wild Wires,6,? Mo_ #killtf2
2023,4 - Firmware Frenzy,Advanced,Cliffside,Nemesis,7,Package O' Lies
2023,4 - Firmware Frenzy,Advanced,Cliffside,Nemesis,7,lite
2023,4 - Firmware Frenzy,Advanced,Greekrock,Broken Bones,5,Skin King
2023,4 - Firmware Frenzy,Advanced,Hurricane,Purple Rain,1,Package O' Lies
2023,4 - Firmware Frenzy,Advanced,Oilrig,Oilpocalypse,1,PDA Expert
2023,4 - Firmware Frenzy,Expert,Coal Town,Catastrophic Course,6,Floro
2023,4 - Firmware Frenzy,Expert,Greekrock,Primeval Upheaval,7,Yoovy
2023,4 - Firmware Frenzy,Expert,Isolation,Depression,5,PDA Expert
2023,4 - Firmware Frenzy,Expert,Shiverpeak,Shattered Star,6,CreatorForce
2023,4 - Firmware Frenzy,Expert,Shiverpeak,Shattered Star,6,ElectricChair22
2023,4 - Firmware Frenzy,Master,Coastrock,Coastal Cashout,7,? Mo_ #killtf2
2024,5 - Magnetic Mayhem,Intermediate,Coal Town,Trouble in Mann Town,6,Spect?tor™
2024,5 - Magnetic Mayhem,Intermediate,Hoovydam,Dizzying Drill,6,randomguy
2024,5 - Magnetic Mayhem,Intermediate,Mannworks,Mathematical Miscalculation,5,Pasta
2024,5 - Magnetic Mayhem,Intermediate,Silentsky,Fresh Dose of Nausea,6,PDA Expert
2024,5 - Magnetic Mayhem,Intermediate,Tensai,Sushi Sunrise,6,Retrowave
2024,5 - Magnetic Mayhem,Intermediate,Waterfront,Diode Charge,3,? Mo_ #killtf2
2024,5 - Magnetic Mayhem,Advanced,Coastrock,Plunder Panic,7,randomguy
2024,5 - Magnetic Mayhem,Advanced,Cyberia,Rusty Rapture,1,Retrowave
2024,5 - Magnetic Mayhem,Advanced,Decoy,Grutesque Getaway,6,Floro
2024,5 - Magnetic Mayhem,Advanced,Doppler,Metallic Madness,6,Retrowave
2024,5 - Magnetic Mayhem,Advanced,Flower Field,Flower Power,8,PDA Expert
2024,5 - Magnetic Mayhem,Advanced,Nox,Noxibility,7,??Lyney?? (Ri-ne)
2024,5 - Magnetic Mayhem,Advanced,Oxidize,Grass Run,6,Skin King
2024,5 - Magnetic Mayhem,Advanced,Powerplant,Industrial Incline,7,Conjo
2024,5 - Magnetic Mayhem,Advanced,Rottenburg,Windy Windup,6,Conjo
2024,5 - Magnetic Mayhem,Expert,Hurricane,Robotic Typhoon,5,randomguy
2024,5 - Magnetic Mayhem,Expert,Mannworks,Monster Maneuvers,7,Floro
2024,5 - Magnetic Mayhem,Expert,Meltdown,Encode Error,5,ElectricChair22
2024,5 - Magnetic Mayhem,Expert,Oilrig,Oil Overflow,7,? FraHtcy3 #killtf2
2024,5 - Magnetic Mayhem,Expert,Production,Paramagnetism,8,brawl stars rico god 420
2024,5 - Magnetic Mayhem,Expert,Silentsky,Subchronic Sufferance,5,? Mo_ #killtf2
